,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
238,1,1.0,790000,79950,2,0.0,2018,7.0
239,1,1.0,200000,75000,2,0.0,2009,19.0
240,0,1.0,718699,19775,1,2.0,2018,1.0
241,0,1.0,543399,28495,1,1.0,2018,5.0
242,0,1.0,1780399,28344,2,2.0,2020,2.0
243,0,1.0,757999,10801,1,2.0,2020,8.0
244,0,1.0,1013999,4365,1,1.0,2019,5.0
245,0,1.0,439999,53266,2,2.0,2016,1.0
246,0,1.0,839199,50866,2,2.0,2018,1.0
247,0,1.0,421799,24230,1,2.0,2019,1.0
248,0,1.0,580599,64275,1,2.0,2016,1.0
249,0,1.0,986799,8924,1,2.0,2019,2.0
251,0,1.0,1082299,26956,1,2.0,2018,3.0
252,0,1.0,576999,12223,1,2.0,2017,2.0
253,0,1.0,533199,23960,1,2.0,2016,2.0
254,0,1.0,473299,33687,1,2.0,2015,1.0
255,0,1.0,1838399,24887,1,2.0,2020,9.0
256,1,6.0,800000,74000,2,2.0,2013,8.0
257,1,16.0,199000,40000,1,0.0,2011,15.0
258,1,1.0,1750000,45000,2,0.0,2020,2.0
259,1,1.0,595000,41000,2,0.0,2018,1.0
260,1,1.0,557699,52000,1,0.0,2014,2.0
261,1,6.0,1890000,61000,2,2.0,2015,13.0
263,1,6.0,699000,26000,1,1.0,2015,2.0
264,0,1.0,451799,71423,1,2.0,2015,2.0
265,0,1.0,446999,34095,1,1.0,2015,2.0
266,0,1.0,470799,32658,1,2.0,2016,1.0
267,0,1.0,511799,33166,1,2.0,2017,1.0
268,0,1.0,399899,31284,1,2.0,2014,1.0
269,0,1.0,375999,66090,1,2.0,2015,1.0
270,0,1.0,664799,51295,1,2.0,2016,4.0
271,0,1.0,617799,48693,1,2.0,2016,1.0
272,0,1.0,749299,36626,2,2.0,2017,1.0
273,0,1.0,795799,55752,2,2.0,2016,6.0
274,0,1.0,543499,49341,2,2.0,2017,5.0
275,0,1.0,317199,60251,1,2.0,2015,1.0
276,0,1.0,373699,22269,1,2.0,2015,1.0
277,0,1.0,501799,38999,1,2.0,2016,10.0
278,0,1.0,838699,29110,2,2.0,2019,1.0
279,0,1.0,1804399,14506,1,2.0,2020,2.0
280,1,1.0,175000,55000,1,0.0,2010,25.0
281,1,6.0,1200000,60000,2,0.0,2018,5.0
282,1,1.0,170000,80000,1,0.0,2006,8.0
283,1,40.0,65000,108252,1,0.0,2005,1.0
284,1,1.0,360000,36000,1,0.0,2014,1.0
285,1,1.0,299000,95000,2,2.0,2016,2.0
286,1,1.0,176000,88000,2,2.0,2010,4.0
287,1,1.0,325000,60000,1,1.0,2014,1.0
288,0,1.0,1804399,14506,1,2.0,2020,2.0
289,0,1.0,985299,29115,2,2.0,2017,1.0
290,0,1.0,642899,34763,1,2.0,2017,1.0
